Thu 22 Dec 2022 05:35:08 PM KST
NODELIST=vll1
MASTER_ADDR=vll1
conda 22.9.0
Python 3.8.11
Vit is used
[INFO] main.py:39 > Namespace(agem_batch=240, batchsize=16, data_dir='/local_datasets/puridiver/cifar100', dataset='cifar100', debug=False, distilling=True, eval_period=100, gpu_transform=True, imp_update_period=1, init_model=False, init_opt=False, log_path='results', lr=0.001, lr_length=10, lr_period=10, lr_step=0.95, m=10, memory_epoch=256, memory_size=2000, mir_cands=50, mode='Freeze_extractor', model_name='vit', n=50, n_tasks=10, n_worker=0, note='[Freeze_extractor]_iblurry_cifar100_3epoch', num_gpus=1, online_iter=3.0, opt_name='sgd', reg_coef=100, rnd_seed=1, sched_name='cos', temp_batchsize=None, topk=1, transforms=['cutmix', 'autoaug'], use_amp=True, workers_per_gpu=1)
[INFO] main.py:48 > Set the device (cuda)
[INFO] main.py:94 > Using train-transforms Compose(
    RandomCrop(size=(32, 32), padding=4)
    RandomHorizontalFlip(p=0.5)
    AutoAugment(policy=AutoAugmentPolicy.CIFAR10, fill=None)
    ConvertImageDtype()
    Normalize(mean=(0.5071, 0.4867, 0.4408), std=(0.2675, 0.2565, 0.2761))
)
[INFO] main.py:104 > [1] Select a CIL method (Freeze_extractor)
[INFO] main.py:110 > [2] Incrementally training 10 tasks

##################################################
# Task 0 iteration
##################################################

[INFO] main.py:123 > [2-1] Prepare a datalist for the current task
[INFO] Freeze_extractor.py:209 > Train | Sample # 464 | train_loss 1.0452 | train_acc 0.7083 | lr 0.000712 | running_time 0:01:12 | ETA 2:08:58
[INFO] Freeze_extractor.py:209 > Train | Sample # 472 | train_loss 1.0696 | train_acc 0.7214 | lr 0.000679 | running_time 0:01:13 | ETA 2:08:07
[INFO] Freeze_extractor.py:209 > Train | Sample # 480 | train_loss 0.9599 | train_acc 0.7708 | lr 0.000644 | running_time 0:01:14 | ETA 2:07:17
[INFO] Freeze_extractor.py:209 > Train | Sample # 488 | train_loss 1.2133 | train_acc 0.7318 | lr 0.000608 | running_time 0:01:14 | ETA 2:06:28
[INFO] Freeze_extractor.py:209 > Train | Sample # 496 | train_loss 1.2473 | train_acc 0.6849 | lr 0.000572 | running_time 0:01:15 | ETA 2:05:42
[INFO] Freeze_extractor.py:219 > Test | Sample # 500 | test_loss 1.8792 | test_acc 0.5146 | 
[INFO] Freeze_extractor.py:209 > Train | Sample # 504 | train_loss 1.1359 | train_acc 0.7474 | lr 0.000535 | running_time 0:01:26 | ETA 2:21:09
[INFO] Freeze_extractor.py:209 > Train | Sample # 512 | train_loss 0.9671 | train_acc 0.7500 | lr 0.000498 | running_time 0:01:27 | ETA 2:20:10
[INFO] Freeze_extractor.py:209 > Train | Sample # 520 | train_loss 1.2319 | train_acc 0.6510 | lr 0.000462 | running_time 0:01:27 | ETA 2:19:12
[INFO] Freeze_extractor.py:209 > Train | Sample # 528 | train_loss 0.9219 | train_acc 0.7552 | lr 0.000425 | running_time 0:01:28 | ETA 2:18:16
[INFO] Freeze_extractor.py:209 > Train | Sample # 536 | train_loss 0.8076 | train_acc 0.7995 | lr 0.000389 | running_time 0:01:29 | ETA 2:17:22
[INFO] Freeze_extractor.py:209 > Train | Sample # 544 | train_loss 1.1988 | train_acc 0.7109 | lr 0.000353 | running_time 0:01:30 | ETA 2:16:31
[INFO] Freeze_extractor.py:209 > Train | Sample # 552 | train_loss 1.0390 | train_acc 0.6953 | lr 0.000319 | running_time 0:01:30 | ETA 2:15:40
[INFO] Freeze_extractor.py:209 > Train | Sample # 560 | train_loss 0.7881 | train_acc 0.8151 | lr 0.000285 | running_time 0:01:31 | ETA 2:14:51
[INFO] Freeze_extractor.py:209 > Train | Sample # 568 | train_loss 1.1348 | train_acc 0.7188 | lr 0.000252 | running_time 0:01:32 | ETA 2:14:01
[INFO] Freeze_extractor.py:209 > Train | Sample # 576 | train_loss 1.1284 | train_acc 0.7344 | lr 0.000221 | running_time 0:01:33 | ETA 2:13:13
[INFO] Freeze_extractor.py:209 > Train | Sample # 584 | train_loss 1.0737 | train_acc 0.7344 | lr 0.000191 | running_time 0:01:33 | ETA 2:12:28
[INFO] Freeze_extractor.py:209 > Train | Sample # 592 | train_loss 0.7719 | train_acc 0.8203 | lr 0.000163 | running_time 0:01:34 | ETA 2:11:42
