Thu 22 Dec 2022 06:13:50 PM KST
NODELIST=vll1
MASTER_ADDR=vll1
conda 22.11.0
Python 3.10.8
[INFO] main.py:39 > Namespace(mode='L2P', dataset='cifar100', n_tasks=10, n=50, m=10, rnd_seed=1, memory_size=2000, log_path='results', model_name='resnet34', opt_name='sgd', sched_name='cos', batchsize=16, n_worker=0, lr=0.03, init_model=False, init_opt=False, topk=1, use_amp=True, transforms=['cutmix', 'autoaug'], gpu_transform=True, reg_coef=100, data_dir='/local_datasets/puridiver/cifar100', debug=False, note='[L2P]_iblurry_cifar100_3epoch', eval_period=100, temp_batchsize=None, online_iter=3.0, num_gpus=1, workers_per_gpu=1, imp_update_period=1, lr_step=0.95, lr_length=10, lr_period=10, memory_epoch=256, distilling=True, agem_batch=240, mir_cands=50)
[INFO] main.py:48 > Set the device (cuda)
[INFO] main.py:94 > Using train-transforms Compose(
    RandomCrop(size=(32, 32), padding=4)
    RandomHorizontalFlip(p=0.5)
    AutoAugment(policy=AutoAugmentPolicy.CIFAR10, fill=None)
    ConvertImageDtype()
    Normalize(mean=(0.5071, 0.4867, 0.4408), std=(0.2675, 0.2565, 0.2761))
)
[INFO] main.py:104 > [1] Select a CIL method (L2P)
[INFO] main.py:110 > [2] Incrementally training 10 tasks

##################################################
# Task 0 iteration
##################################################

[INFO] main.py:123 > [2-1] Prepare a datalist for the current task
[INFO] L2P.py:342 > Train | Sample # 600 | train_loss 23.0276 | train_acc 0.8385 | lr 0.030000 | running_time 0:03:27 | ETA 4:45:11
[INFO] L2P.py:352 > Test | Sample # 600 | test_loss 846.4014 | test_acc 0.4611 | 
[INFO] L2P.py:342 > Train | Sample # 608 | train_loss 22.6307 | train_acc 0.7318 | lr 0.030000 | running_time 0:03:49 | ETA 5:11:07
[INFO] L2P.py:342 > Train | Sample # 616 | train_loss 23.1840 | train_acc 0.8125 | lr 0.030000 | running_time 0:03:51 | ETA 5:09:28
[INFO] L2P.py:342 > Train | Sample # 624 | train_loss 23.1420 | train_acc 0.7734 | lr 0.030000 | running_time 0:03:53 | ETA 5:07:52
[INFO] L2P.py:342 > Train | Sample # 632 | train_loss 22.3344 | train_acc 0.6589 | lr 0.030000 | running_time 0:03:55 | ETA 5:06:18
[INFO] L2P.py:342 > Train | Sample # 640 | train_loss 23.7687 | train_acc 0.7370 | lr 0.030000 | running_time 0:03:57 | ETA 5:04:45
[INFO] L2P.py:342 > Train | Sample # 648 | train_loss 23.5535 | train_acc 0.7188 | lr 0.030000 | running_time 0:03:58 | ETA 5:03:16
[INFO] L2P.py:342 > Train | Sample # 656 | train_loss 23.0518 | train_acc 0.7292 | lr 0.030000 | running_time 0:04:00 | ETA 5:01:48
[INFO] L2P.py:342 > Train | Sample # 664 | train_loss 22.8317 | train_acc 0.7344 | lr 0.030000 | running_time 0:04:02 | ETA 5:00:23
[INFO] L2P.py:342 > Train | Sample # 672 | train_loss 22.5517 | train_acc 0.7500 | lr 0.030000 | running_time 0:04:04 | ETA 4:58:59
[INFO] L2P.py:342 > Train | Sample # 680 | train_loss 22.7608 | train_acc 0.7266 | lr 0.030000 | running_time 0:04:06 | ETA 4:57:36
[INFO] L2P.py:342 > Train | Sample # 688 | train_loss 22.9787 | train_acc 0.6536 | lr 0.030000 | running_time 0:04:08 | ETA 4:56:16
